顾客编号,大类编码,中类编码,小类编码,销售日期,商品编码,规格型号,商品类型,销售数量,销售金额,商品单价,是否促销
831,12,1201,120109,2015-01-23,DW-1201090311, ,生鲜,4.0,8.0,2.0,否
831,13,1301,130101,2015-01-23,DW-1301010076,散称,联营商品,0.56,11.2,20.0,否
210,12,1201,120104,2015-01-23,DW-1201040010,散称,生鲜,0.67,1.73,2.58,否
1002,13,1301,130101,2015-01-23,DW-1301010076,散称,联营商品,0.428,8.56,20.0,否
220,15,1510,151004,2015-01-23,DW-1510040005,720g,一般商品,1.0,31.7,31.7,否
991,12,1201,120102,2015-01-23,DW-1201020365,散称,生鲜,0.73,2.89,3.96,否
1003,31,3114,311405,2015-01-23,DW-3114050078,55*45,一般商品,1.0,13.0,13.0,否
365,15,1521,152101,2015-01-23,DW-1521010001,散称,一般商品,1.048,20.75,19.8,否
609,10,1001,100101,2015-01-23,DW-1001010205,散称,生鲜,0.534,10.57,19.8,否
223,12,1201,120103,2015-01-23,DW-1201030001,散称,生鲜,0.7909999999999999,1.39,1.76,否
223,12,1201,120104,2015-01-23,DW-1201040026,散称,生鲜,0.444,0.88,1.98,否
847,22,2202,220299,2015-01-23,DW-2202990023,散称,一般商品,0.094,3.7,51.8,是
127,22,2203,220302,2015-01-23,DW-2203020028,45g,一般商品,1.0,4.0,4.0,否
424,12,1202,120201,2015-01-23,DW-1202018073,散称,生鲜,0.39399999999999996,1.17,2.96,否
44,20,2011,201105,2015-01-23,DW-2011050011,420ml+25ml,一般商品,1.0,4.9,4.9,否
497,12,1203,120302,2015-01-23,DW-1203020218,散称,生鲜,1.092,10.92,10.0,否
732,30,3006,300604,2015-01-23,DW-3006040109,202g,一般商品,1.0,14.9,14.9,否
1004,20,2006,200607,2015-01-23,DW-2006070171,1000g,一般商品,1.0,9.5,9.5,否
986,10,1001,100101,2015-01-23,DW-1001010204,散称,生鲜,8.21,211.82,25.8,否
986,10,1002,100202,2015-01-23,DW-1002020061,散称,生鲜,6.02,481.6,80.0,否
986,20,2006,200601,2015-01-23,DW-2006010003,散称,一般商品,50.0,279.0,5.58,否
1005,15,1521,152101,2015-01-23,DW-1521010004,60枚,一般商品,1.0,75.0,75.0,否
994,31,3112,311204,2015-01-23,DW-3112040274,8201,一般商品,1.0,10.0,10.0,否
847,20,2011,201101,2015-01-23,DW-2011010017,500mL,一般商品,1.0,5.7,5.7,否
847,33,3320,332099,2015-01-23,DW-3320990010,3240,一般商品,1.0,2.3,2.3,否
847,21,2105,210503,2015-01-23,DW-2105030050,360g,一般商品,1.0,8.9,16.3,是
988,20,2014,201404,2015-01-23,DW-2014040199,330g,一般商品,1.0,4.3,4.3,否
984,12,1201,120102,2015-01-23,DW-1201020026,散称,生鲜,1.008,2.58,2.56,否
984,12,1201,120104,2015-01-23,DW-1201040027,散称,生鲜,0.6659999999999999,6.63,9.96,否
246,12,1201,120104,2015-01-23,DW-1201040049,散称,生鲜,0.7140000000000001,4.14,5.8,否
995,20,2006,200607,2015-01-23,DW-2006070078,散称,一般商品,1.008,31.15,30.9,否
987,12,1201,120104,2015-01-23,DW-1201040035,散称,生鲜,0.23600000000000002,2.27,9.6,否
987,15,1503,150304,2015-01-23,DW-1503040012,1kg,一般商品,1.0,24.7,24.7,否
989,15,1505,150505,2015-01-23,DW-1505050021,160g,一般商品,2.0,7.8,4.5,是
412,12,1203,120302,2015-01-23,DW-1203020212,散称,生鲜,1.382,6.88,4.98,否
412,22,2201,220106,2015-01-23,DW-2201060002,225g,一般商品,1.0,4.7,4.7,否
424,22,2201,220101,2015-01-23,DW-2201010003,100g,一般商品,1.0,3.5,3.5,否
344,22,2205,220512,2015-01-23,DW-2205120039,60g,一般商品,1.0,2.2,2.2,否
509,20,2002,200203,2015-01-23,DW-2002030010,98g*5,一般商品,1.0,11.3,11.3,否
847,30,3016,301608,2015-01-23,DW-3016080218,200抽*6,一般商品,1.0,15.9,19.9,是
992,22,2207,220708,2015-01-23,DW-2207080006,70g,一般商品,1.0,3.0,3.0,否
758,12,1201,120106,2015-01-23,DW-1201060003,散称,生鲜,0.846,5.55,6.56,否
609,15,1505,150501,2015-01-23,DW-1505010004,100g*6,一般商品,1.0,9.8,14.9,是
1006,23,2311,231103,2015-01-23,DW-2311030232,52%600ml,一般商品,1.0,20.3,20.3,否
44,12,1203,120301,2015-01-23,DW-1203010293,散称,生鲜,0.478,4.78,10.0,否
1001,22,2210,221003,2015-01-23,DW-2210030003,200g,一般商品,1.0,4.2,4.2,否
149,20,2001,200103,2015-01-23,DW-2001030004,98g,一般商品,1.0,3.0,3.0,否
87,20,2006,200601,2015-01-23,DW-2006010003,散称,一般商品,3.364,18.77,5.58,否
990,12,1201,120104,2015-01-23,DW-1201040027,散称,生鲜,0.306,3.05,9.96,否
990,22,2205,220502,2015-01-23,DW-2205020048,散称,一般商品,0.444,4.35,11.8,是
365,12,1203,120313,2015-01-23,DW-1203130446,散称,生鲜,0.636,8.25,30.0,否
609,12,1202,120201,2015-01-23,DW-1202018073,散称,生鲜,0.616,1.82,2.96,否
999,12,1201,120104,2015-01-23,DW-1201040036,散称,生鲜,0.37799999999999995,0.68,1.8,否
997,20,2006,200601,2015-01-23,DW-2006010003,散称,一般商品,0.8759999999999999,4.89,5.58,否
996,12,1201,120101,2015-01-23,DW-1201010395,散称,生鲜,0.48,3.0,6.0,否
424,22,2201,220106,2015-01-23,DW-2201060004,240g,一般商品,1.0,3.9,3.9,否
344,22,2203,220302,2015-01-23,DW-2203020159,70g,一般商品,1.0,4.7,5.9,是
987,12,1201,120109,2015-01-23,DW-1201090311, ,生鲜,4.0,8.0,2.0,否
1007,12,1203,120302,2015-01-23,DW-1203020164,散称,生鲜,2.052,36.53,17.8,否
732,12,1201,120101,2015-01-23,DW-1201010005,散称,生鲜,0.623,3.61,5.8,否
488,12,1201,120105,2015-01-23,DW-1201050004,散称,生鲜,0.27399999999999997,1.64,5.98,否
488,23,2311,231103,2015-01-23,DW-2311030040,55%475ml,一般商品,1.0,10.3,10.3,否
149,20,2002,200201,2015-01-23,DW-2002010066,600g,一般商品,1.0,22.5,22.5,否
1000,22,2207,220799,2015-01-23,DW-2207990012,散称,一般商品,0.662,16.95,25.6,否
1001,15,1501,150101,2015-01-23,DW-1501010092,130g,一般商品,1.0,4.9,4.9,否
268,12,1203,120302,2015-01-23,DW-1203020164,散称,生鲜,0.885,15.75,17.8,否
993,20,2006,200608,2015-01-23,DW-2006080036,散称,一般商品,0.86,3.94,4.58,否
993,22,2207,220713,2015-01-23,DW-2207130006,250g,一般商品,1.0,17.9,17.9,否
351,15,1518,151813,2015-01-23,DW-1518130012,200g,一般商品,1.0,5.5,5.5,否
142,15,1505,150501,2015-01-23,DW-1505010004,100g*6,一般商品,1.0,9.8,14.9,是
677,22,2205,220513,2015-01-23,DW-2205130062,200g,一般商品,1.0,6.5,6.5,否
995,30,3016,301608,2015-01-23,DW-3016080255,400张*6,一般商品,1.0,14.9,14.9,否
677,34,3408,340802,2015-01-23,DW-3408021361,26-28CM,一般商品,1.0,8.5,8.5,否
306,12,1202,120204,2015-01-23,DW-1202048059,散称,生鲜,0.28,2.17,7.76,否
1002,13,1301,130101,2015-01-23,DW-1301010076,散称,联营商品,0.35200000000000004,7.04,20.0,否
988,12,1202,120201,2015-01-23,DW-1202018267,块,生鲜,1.0,1.5,1.5,否
405,22,2203,220399,2015-01-23,DW-2203990116,108g,一般商品,1.0,3.7,3.7,否
210,22,2205,220502,2015-01-23,DW-2205020048,散称,一般商品,0.17,1.62,11.8,是
306,12,1203,120301,2015-01-23,DW-1203010290,散称,生鲜,1.068,2.14,2.0,否
306,23,2307,230705,2015-01-23,DW-2307050002,220ml*4,一般商品,1.0,7.5,7.5,否
220,20,2005,200501,2015-01-23,DW-2005010042,400g,一般商品,1.0,5.7,5.7,否
859,15,1505,150506,2015-01-23,DW-1505060014,100g*8,一般商品,1.0,9.9,15.9,是
1003,20,2006,200602,2015-01-23,DW-2006020047,5Kg,一般商品,1.0,36.9,36.9,否
992,22,2207,220708,2015-01-23,DW-2207080003,70g,一般商品,1.0,3.0,3.0,否
992,22,2207,220708,2015-01-23,DW-2207080007,70g,一般商品,1.0,3.0,3.0,否
412,22,2206,220606,2015-01-23,DW-2206060016,3g,一般商品,1.0,2.2,2.2,否
212,12,1201,120102,2015-01-23,DW-1201020043,散称,生鲜,1.492,2.69,1.8,否
212,22,2207,220799,2015-01-23,DW-2207990007,散称,一般商品,0.254,12.65,49.8,否
306,23,2303,230399,2015-01-23,DW-2303990187,500ml,一般商品,1.0,2.5,4.5,是
365,12,1201,120102,2015-01-23,DW-1201020025,散称,生鲜,1.034,2.65,2.56,否
47,22,2205,220502,2015-01-23,DW-2205020048,散称,一般商品,0.226,2.21,11.8,是
44,12,1205,120501,2015-01-23,DW-1205010017,散称,生鲜,0.601,1.2,2.0,否
1001,22,2210,221003,2015-01-23,DW-2210030022,200g,一般商品,1.0,4.0,4.0,否
999,12,1201,120101,2015-01-23,DW-1201010395,散称,生鲜,0.466,2.8,6.0,否
44,12,1201,120102,2015-01-23,DW-1201020013,散称,生鲜,0.591,2.36,4.0,否
991,12,1201,120104,2015-01-23,DW-1201040035,散称,生鲜,0.872,8.37,9.6,否
400,20,2014,201404,2015-01-23,DW-2014040120,88g,一般商品,1.0,2.3,2.3,否
400,20,2014,201404,2015-01-23,DW-2014040121,88g,一般商品,1.0,2.2,2.3,否
497,12,1203,120303,2015-01-23,DW-1203030184,散称,生鲜,1.12,4.48,4.0,否
732,33,3319,331905,2015-01-23,DW-3319050052,5399,一般商品,1.0,3.5,3.5,否
621,12,1201,120105,2015-01-23,DW-1201050011,散称,生鲜,0.611,4.01,6.56,否
968,12,1203,120302,2015-01-23,DW-1203020172,散称,生鲜,0.43,5.15,11.98,否
968,30,3013,301301,2015-01-23,DW-3013010632,140g,一般商品,1.0,13.9,13.9,否
344,22,2201,220110,2015-01-23,DW-2201100005,118g,一般商品,1.0,3.5,3.5,否
344,22,2210,221006,2015-01-23,DW-2210060018,360g,一般商品,1.0,4.0,4.0,否
983,15,1518,151805,2015-01-23,DW-1518050007,240ml,一般商品,16.0,32.9,2.7,是
987,12,1201,120101,2015-01-23,DW-1201010023,散称,生鲜,0.8270000000000001,2.12,2.56,否
984,12,1205,120501,2015-01-23,DW-1205010005,散称,生鲜,0.557,1.11,2.0,否
261,30,3013,301301,2015-01-23,DW-3013010163,105g,一般商品,1.0,5.9,5.9,否
261,30,3018,301801,2015-01-23,DW-3018010132,10片,一般商品,1.0,4.9,4.9,否
985,23,2310,231001,2015-01-23,DW-2310010049,12%750ml,一般商品,1.0,60.3,60.3,否
1004,30,3016,301609,2015-01-23,DW-3016090088,10P,一般商品,1.0,3.5,3.9,是
986,12,1201,120106,2015-01-23,DW-1201060003,散称,生鲜,1.902,12.48,6.56,否
351,23,2311,231103,2015-01-23,DW-2311030234,52%750ml,一般商品,1.0,38.0,38.0,否
732,12,1203,120301,2015-01-23,DW-1203010293,散称,生鲜,0.754,7.54,10.0,否
758,12,1201,120105,2015-01-23,DW-1201050011,散称,生鲜,0.611,4.01,6.56,否
609,12,1201,120104,2015-01-23,DW-1201040035,散称,生鲜,0.866,8.31,9.6,否
847,20,2007,200705,2015-01-23,DW-2007050036,400g,一般商品,1.0,7.9,16.3,是
986,12,1201,120104,2015-01-23,DW-1201040010,散称,生鲜,4.622,11.92,2.58,否
986,12,1201,120104,2015-01-23,DW-1201040026,散称,生鲜,7.996,31.8,1.98,否
509,15,1518,151801,2015-01-23,DW-1518010006,250ml*12,一般商品,1.0,65.0,65.0,否
998,15,1518,151806,2015-01-23,DW-1518060020,230ml,一般商品,4.0,11.2,2.8,否
1000,22,2204,220406,2015-01-23,DW-2204060004,散称,一般商品,0.636,17.68,27.8,否
400,20,2006,200601,2015-01-23,DW-2006010001,散称,一般商品,1.395,5.86,4.2,否
968,22,2202,220202,2015-01-23,DW-2202020177,散称,一般商品,0.36,15.76,51.6,是
261,30,3018,301802,2015-01-23,DW-3018020108,8片,一般商品,1.0,8.9,8.9,否
246,23,2307,230703,2015-01-23,DW-2307030002,245ml,一般商品,1.0,4.9,4.9,否
914,22,2202,220208,2015-01-23,DW-2202080007,散称,一般商品,0.324,5.1,19.0,是
149,30,3002,300204,2015-01-23,DW-3002040006,400ml*2,一般商品,1.0,17.9,17.9,否
988,20,2007,200709,2015-01-23,DW-2007090052,275g,一般商品,1.0,5.7,5.7,否
437,22,2202,220208,2015-01-23,DW-2202080007,散称,一般商品,0.24600000000000002,3.81,19.0,是
87,20,2006,200602,2015-01-23,DW-2006020003,5kg,一般商品,1.0,41.9,41.9,否
990,20,2014,201404,2015-01-23,DW-2014040120,88g,一般商品,1.0,2.3,2.3,否
365,12,1203,120301,2015-01-23,DW-1203010221,散称,生鲜,0.562,8.98,15.98,否
365,23,2314,231404,2015-01-23,DW-2314040059,3.8%275ml,一般商品,1.0,13.8,13.8,否
609,12,1202,120205,2015-01-23,DW-1202058082,散称,生鲜,0.198,5.39,27.2,否
203,12,1203,120302,2015-01-23,DW-1203020172,散称,生鲜,1.22,14.62,11.98,否
1008,23,2314,231404,2015-01-23,DW-2314040083,4.8%275ml,一般商品,1.0,8.9,11.9,是
142,12,1205,120501,2015-01-23,DW-1205010021,散称,生鲜,0.23399999999999999,0.47,2.0,否
677,22,2201,220101,2015-01-23,DW-2201010019,100g,一般商品,1.0,3.9,3.9,否
677,22,2206,220601,2015-01-23,DW-2206010213,250g,一般商品,1.0,29.8,29.8,否
677,22,2209,220906,2015-01-23,DW-2209060028,84g,一般商品,1.0,9.0,9.0,否
261,12,1201,120104,2015-01-23,DW-1201040010,散称,生鲜,0.5479999999999999,1.41,2.58,否
220,22,2202,220201,2015-01-23,DW-2202010038,30g*12,一般商品,1.0,18.9,19.0,否
105,20,2001,200101,2015-01-23,DW-2001010007,100g,一般商品,1.0,3.0,3.0,否
105,22,2206,220608,2015-01-23,DW-2206080040,115g,一般商品,1.0,29.9,29.9,否
437,22,2202,220202,2015-01-23,DW-2202020177,散称,一般商品,0.198,8.67,51.6,是
1003,31,3116,311604,2015-01-23,DW-3116040004,30CM*20CM*20,一般商品,1.0,10.0,10.0,否
749,12,1201,120101,2015-01-23,DW-1201010004,散称,生鲜,0.22,1.23,5.6,否
344,20,2002,200201,2015-01-23,DW-2002010015,100g*5,一般商品,1.0,10.9,14.7,是
987,10,1005,100504,2015-01-23,DW-1005040011,300g,生鲜,1.0,1.6,1.6,否
987,12,1201,120109,2015-01-23,DW-1201090032,散称,生鲜,0.344,2.74,7.96,否
987,12,1202,120201,2015-01-23,DW-1202018073,散称,生鲜,0.475,1.41,2.96,否
474,15,1518,151804,2015-01-23,DW-1518040041,200g*12,一般商品,1.0,49.9,66.0,是
44,12,1201,120103,2015-01-23,DW-1201030001,散称,生鲜,0.316,0.4,1.76,否
993,20,2005,200501,2015-01-23,DW-2005010011,300g*2,一般商品,1.0,5.9,5.9,否
261,20,2014,201404,2015-01-23,DW-2014040120,88g,一般商品,1.0,2.3,2.3,否
998,15,1505,150501,2015-01-23,DW-1505010004,100g*6,一般商品,1.0,9.8,14.9,是
437,30,3018,301802,2015-01-23,DW-3018020337,4片,一般商品,1.0,7.9,8.9,是
758,12,1201,120102,2015-01-23,DW-1201020029,散称,生鲜,1.2690000000000001,5.03,3.96,否
609,30,3013,301301,2015-01-23,DW-3013010632,140g,一般商品,1.0,13.9,13.9,否
280,22,2206,220699,2015-01-23,DW-2206990120,100g,一般商品,1.0,2.7,2.7,否
280,22,2206,220699,2015-01-23,DW-2206990121,45g,一般商品,1.0,1.2,1.2,否
986,12,1203,120302,2015-01-23,DW-1203020164,散称,生鲜,6.796,120.97,17.8,否
1005,12,1203,120307,2015-01-23,DW-1203070022,散称,生鲜,2.8930000000000002,17.24,5.96,否
351,23,2306,230604,2015-01-23,DW-2306040017,250ml,一般商品,1.0,5.5,5.5,否
1000,22,2207,220701,2015-01-23,DW-2207010092,散称,一般商品,0.818,19.47,23.8,否
44,10,1001,100101,2015-01-23,DW-1001010205,散称,生鲜,0.43,8.51,19.8,否
261,12,1201,120101,2015-01-23,DW-1201010395,散称,生鲜,0.183,1.1,6.0,否
261,15,1501,150101,2015-01-23,DW-1501010004,35g,一般商品,1.0,1.0,1.0,否
261,20,2014,201404,2015-01-23,DW-2014040081,115g,一般商品,1.0,2.3,2.3,否
149,12,1201,120102,2015-01-23,DW-1201020721,散称,生鲜,0.395,1.98,5.0,否
732,20,2003,200301,2015-01-23,DW-2003010052,113g,一般商品,1.0,3.9,3.9,否
994,30,3018,301801,2015-01-23,DW-3018010298,8片,一般商品,1.0,6.5,7.7,是
210,12,1201,120102,2015-01-23,DW-1201020361,散称,生鲜,0.44799999999999995,25.09,56.0,否
210,22,2205,220513,2015-01-23,DW-2205130089,散装,一般商品,0.17,2.35,13.8,否
859,12,1201,120101,2015-01-23,DW-1201010021,散称,生鲜,0.22699999999999998,1.49,6.56,否
991,12,1201,120101,2015-01-23,DW-1201010004,散称,生鲜,0.544,3.05,5.6,否
1009,30,3011,301101,2015-01-23,DW-3011010774,50g,一般商品,1.0,19.9,19.9,否
437,22,2203,220303,2015-01-23,DW-2203030003,105g,一般商品,1.0,7.9,7.9,否
758,12,1201,120101,2015-01-23,DW-1201010018,散称,生鲜,0.51,6.12,12.0,否
758,12,1201,120104,2015-01-23,DW-1201040042,散称,生鲜,0.68,5.3,7.8,否
990,12,1201,120102,2015-01-23,DW-1201020013,散称,生鲜,0.44,1.76,4.0,否
977,12,1201,120101,2015-01-23,DW-1201010025,散称,生鲜,0.49,1.94,3.96,否
365,20,2011,201106,2015-01-23,DW-2011060009,500ml,一般商品,1.0,5.9,5.9,否
365,23,2314,231404,2015-01-23,DW-2314040077,4%275ml,一般商品,1.0,12.9,12.9,否
1001,22,2202,220201,2015-01-23,DW-2202010010,30g*6,一般商品,1.0,9.9,9.9,否
908,23,2316,231602,2015-01-23,DW-2316020014,硬84,一般商品,1.0,25.0,25.0,否
993,20,2011,201101,2015-01-23,DW-2011010015,500ml,一般商品,1.0,7.3,7.3,否
732,33,3319,331999,2015-01-23,DW-3319990035,6292,一般商品,1.0,2.3,2.3,否
1010,22,2201,220106,2015-01-24,DW-2201060002,225g,一般商品,4.0,18.8,4.7,否
934,12,1201,120105,2015-01-24,DW-1201050004,散称,生鲜,0.33799999999999997,2.02,5.98,否
1011,12,1201,120104,2015-01-24,DW-1201040010,散称,生鲜,0.59,1.52,2.58,否
735,20,2008,200801,2015-01-24,DW-2008010007,100g,一般商品,4.0,8.0,2.0,否
333,22,2202,220201,2015-01-24,DW-2202010104,25g*40,一般商品,1.0,24.9,29.9,是
318,22,2203,220302,2015-01-24,DW-2203020186,104g,一般商品,1.0,7.5,7.5,否
1012,12,1201,120102,2015-01-24,DW-1201020029,散称,生鲜,1.2990000000000002,5.14,3.96,否
950,23,2314,231404,2015-01-24,DW-2314040062,3.8%275ml,一般商品,1.0,13.8,13.8,否
75,15,1521,152101,2015-01-24,DW-1521010005,散称,一般商品,0.898,6.09,6.78,否
1013,22,2206,220601,2015-01-24,DW-2206010018,60g,一般商品,1.0,10.9,10.9,否
1014,22,2202,220202,2015-01-24,DW-2202020177,散称,一般商品,0.276,12.03,51.6,是
108,12,1201,120101,2015-01-24,DW-1201010005,散称,生鲜,0.504,2.92,5.8,否
1015,34,3426,342604,2015-01-24,DW-3426040053,均码,一般商品,1.0,4.9,6.0,是
702,15,1521,152101,2015-01-24,DW-1521010005,散称,一般商品,0.846,5.74,6.78,否
897,15,1505,150505,2015-01-24,DW-1505050005,150g,一般商品,1.0,2.3,2.3,否
81,20,2007,200709,2015-01-24,DW-2007090053,275g,一般商品,1.0,4.3,4.3,否
72,12,1203,120302,2015-01-24,DW-1203020164,散称,生鲜,1.5919999999999999,28.34,17.8,否
1013,22,2209,220905,2015-01-24,DW-2209050063,kg,一般商品,0.084,6.69,79.6,否
333,12,1203,120301,2015-01-24,DW-1203010218,散称,生鲜,1.646,13.1,7.96,否
1016,20,2010,201004,2015-01-24,DW-2010040008,5L,一般商品,1.0,79.9,87.9,是
556,30,3013,301301,2015-01-24,DW-3013010174,90g,一般商品,1.0,8.9,8.9,否
91,20,2005,200501,2015-01-24,DW-2005010182,800g,一般商品,1.0,5.3,5.3,否
91,33,3320,332007,2015-01-24,DW-3320070001,4K,一般商品,1.0,6.3,6.3,否
897,15,1505,150501,2015-01-24,DW-1505010059,139g,一般商品,1.0,3.5,3.9,是
164,12,1203,120301,2015-01-24,DW-1203010290,散称,生鲜,1.064,2.13,2.0,否
950,21,2104,210402,2015-01-24,DW-2104020123,80g*3,一般商品,1.0,8.9,8.9,否
804,12,1201,120102,2015-01-24,DW-1201020017,散称,生鲜,0.39,1.0,2.56,否
804,12,1201,120106,2015-01-24,DW-1201060002,散称,生鲜,0.373,6.71,18.0,否
804,20,2003,200301,2015-01-24,DW-2003010003,55g,一般商品,1.0,3.0,3.0,否
804,22,2210,221003,2015-01-24,DW-2210030023,108g,一般商品,1.0,4.0,4.0,否
1014,30,3016,301603,2015-01-24,DW-3016030106,10卷1kg,一般商品,1.0,11.9,15.5,是
1017,12,1201,120104,2015-01-24,DW-1201040027,散称,生鲜,0.39799999999999996,2.38,9.96,否
857,20,2006,200601,2015-01-24,DW-2006010003,散称,一般商品,4.062,22.67,5.58,否
189,31,3114,311401,2015-01-24,DW-3114010014,50只（9盎,一般商品,2.0,12.0,6.0,否
845,23,2309,230901,2015-01-24,DW-2309010050,2.5%330ml,一般商品,1.0,2.5,2.5,否
556,15,1518,151804,2015-01-24,DW-1518040027,250ml,一般商品,1.0,1.6,2.0,是
556,30,3013,301301,2015-01-24,DW-3013010692,105g,一般商品,1.0,9.9,9.9,否
74,15,1505,150501,2015-01-24,DW-1505010020,1100g,一般商品,1.0,22.9,22.9,否
1013,12,1201,120109,2015-01-24,DW-1201090311, ,生鲜,4.0,8.0,2.0,否
1013,15,1505,150506,2015-01-24,DW-1505060014,100g*8,一般商品,1.0,9.9,15.9,是
1013,22,2207,220799,2015-01-24,DW-2207990017,40g,一般商品,1.0,3.5,3.5,否
436,12,1203,120313,2015-01-24,DW-1203130446,散称,生鲜,0.8440000000000001,25.32,30.0,否
31,12,1201,120106,2015-01-24,DW-1201060003,散称,生鲜,0.252,1.65,6.56,否
519,20,2014,201405,2015-01-24,DW-2014050028,340g,一般商品,1.0,6.7,6.7,否
526,30,3006,300602,2015-01-24,DW-3006020103,3kg,一般商品,1.0,51.8,56.9,是
526,33,3323,332301,2015-01-24,DW-3323010061,48K150,一般商品,1.0,8.5,8.5,否
1018,22,2203,220303,2015-01-24,DW-2203030005,105g,一般商品,1.0,7.9,7.9,否
1019,30,3016,301608,2015-01-24,DW-3016080119,200抽*3,一般商品,1.0,8.5,8.9,是
1020,20,2011,201111,2015-01-24,DW-2011110012,500mL,一般商品,1.0,5.9,5.9,否
168,12,1201,120104,2015-01-24,DW-1201040011,散称,生鲜,0.536,2.44,4.56,否
834,12,1203,120302,2015-01-24,DW-1203020172,散称,生鲜,1.7080000000000002,20.46,11.98,否
804,12,1201,120102,2015-01-24,DW-1201020029,散称,生鲜,0.534,2.11,3.96,否
24,13,1308,130803,2015-01-24,DW-1308030035,个,生鲜,2.0,2.0,1.0,否
1021,12,1203,120313,2015-01-24,DW-1203130468,散称,生鲜,1.216,24.32,20.0,否
834,20,2006,200602,2015-01-24,DW-2006020124,5kg,一般商品,1.0,27.9,27.9,否
105,20,2001,200101,2015-01-24,DW-2001010007,100g,一般商品,1.0,2.5,3.0,否
807,12,1201,120101,2015-01-24,DW-1201010018,散称,生鲜,0.526,6.31,12.0,否
47,12,1201,120101,2015-01-24,DW-1201010019,散称,生鲜,0.9740000000000001,1.91,1.96,否
47,12,1201,120105,2015-01-24,DW-1201050255,散称,生鲜,0.11,1.06,9.6,否
333,12,1203,120302,2015-01-24,DW-1203020172,散称,生鲜,2.072,24.82,11.98,否
1014,22,2202,220205,2015-01-24,DW-2202050054,散称,一般商品,0.24600000000000002,4.87,25.0,是
1014,22,2203,220301,2015-01-24,DW-2203010110,160g,一般商品,1.0,5.9,8.7,是
804,20,2008,200803,2015-01-24,DW-2008030006,100g,一般商品,1.0,3.5,4.3,是
47,15,1505,150504,2015-01-24,DW-1505040040,340ml*2,一般商品,1.0,9.9,9.9,否
1022,12,1203,120302,2015-01-24,DW-1203020162,散称,生鲜,1.7380000000000002,22.55,7.98,否
1023,23,2307,230704,2015-01-24,DW-2307040024,1.5L,一般商品,1.0,8.9,11.0,是
526,22,2211,221101,2015-01-24,DW-2211012149,100g,一般商品,4.0,34.0,13.9,是
526,31,3110,311007,2015-01-24,DW-3110070050,MY807,一般商品,1.0,7.0,7.0,否
1014,22,2202,220205,2015-01-24,DW-2202050126,散称,一般商品,0.48,14.3,39.6,是
965,12,1201,120102,2015-01-24,DW-1201020029,散称,生鲜,1.171,4.64,3.96,否
164,22,2205,220513,2015-01-24,DW-2205130015,150g,一般商品,1.0,5.3,5.3,否
1024,30,3006,300601,2015-01-24,DW-3006010428,1.03kg,一般商品,1.0,8.9,10.9,是
1025,12,1201,120102,2015-01-24,DW-1201020365,散称,生鲜,0.478,1.89,3.96,否
1025,20,2006,200603,2015-01-24,DW-2006030187,2.5kg,一般商品,1.0,29.9,29.9,否
31,30,3013,301304,2015-01-24,DW-3013040011,833,一般商品,1.0,3.0,3.0,否
281,12,1201,120106,2015-01-24,DW-1201060004,散称,生鲜,0.284,4.77,16.8,否
526,31,3117,311702,2015-01-24,DW-3117020043,2片装,一般商品,1.0,6.9,6.9,否
526,34,3417,341701,2015-01-24,DW-3417010265, ,一般商品,1.0,25.0,25.0,否
331,20,2005,200501,2015-01-24,DW-2005010113,500g,一般商品,1.0,4.7,4.7,否
556,15,1518,151804,2015-01-24,DW-1518040026,250ml,一般商品,1.0,1.6,2.0,是
556,31,3114,311406,2015-01-24,DW-3114060025,T1200,一般商品,1.0,1.5,2.0,是
1013,22,2211,221101,2015-01-24,DW-2211012165,285g,一般商品,1.0,14.5,14.5,否
92,12,1203,120301,2015-01-24,DW-1203010290,散称,生鲜,1.3259999999999998,2.65,2.0,否
804,12,1201,120104,2015-01-24,DW-1201040026,散称,生鲜,0.578,1.14,1.98,否
951,15,1515,151501,2015-01-24,DW-1515010063,350g,一般商品,1.0,35.7,35.7,否
834,15,1505,150506,2015-01-24,DW-1505060014,100g*8,一般商品,1.0,9.9,15.9,是
47,12,1202,120201,2015-01-24,DW-1202018267,块,生鲜,1.0,1.5,1.5,否
1012,12,1201,120102,2015-01-24,DW-1201020013,散称,生鲜,0.563,2.25,4.0,否
1023,23,2304,230404,2015-01-24,DW-2304040017,1.5L,一般商品,1.0,11.3,11.3,否
31,15,1521,152101,2015-01-24,DW-1521010036,6枚,一般商品,1.0,8.9,8.9,否
1019,30,3002,300202,2015-01-24,DW-3002020017,500g,一般商品,1.0,6.5,6.5,否
804,23,2309,230901,2015-01-24,DW-2309010148,330ml,一般商品,6.0,10.8,2.0,是
951,12,1201,120101,2015-01-24,DW-1201010018,散称,生鲜,0.272,3.26,12.0,否
281,20,2009,200902,2015-01-24,DW-2009020012,400g,一般商品,1.0,2.3,2.3,否
526,22,2204,220402,2015-01-24,DW-2204020108,450g,一般商品,2.0,59.6,49.8,是
526,22,2211,221101,2015-01-24,DW-2211012166,285g,一般商品,1.0,13.9,13.9,否
807,12,1201,120102,2015-01-24,DW-1201020043,散称,生鲜,1.581,2.85,1.8,否
763,12,1201,120102,2015-01-24,DW-1201020015,散称,生鲜,0.532,1.06,2.0,否
763,12,1201,120102,2015-01-24,DW-1201020032,散称,生鲜,0.6659999999999999,5.3,7.96,否
